Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3
1,Page,,,,,,,,,Page 1,,
2,Class,UML,1,,,,,,,Program,+ manager: LightKeeperManager,"+ Program()
+ Main()"
3,Class,UML,1,,,,,,,LightKeeperManager,+ keepers: List<LightKeeper>,"+ LightKeeperManager(List<IMyInteriorLight>)
+ tick()"
4,Class,UML,1,,,,,,,LightKeeper,"+ light: IMyInteriorLight
+ increment: int","+ LightKeeper(IMyInteriorLight)
+ tick()"
5,Class,UML,1,,,,,,,IMyInteriorLight,,
6,Line,,1,,,2,3,Aggregation,None,1,,
7,Line,,1,,,3,4,Aggregation,None,0..*,,
8,Line,,1,,,4,5,Aggregation,None,1,,